"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Exclude from Simulation","Exclude from Position Files","Footprint","Datasheet"
"C1,C5","2","10nf","","","","","${EXCLUDE_FROM_POS_FILES}","Capacitor_THT:C_Disc_D7.0mm_W2.5mm_P5.00mm",""
"C2,C6","2","47pf","","","","","${EXCLUDE_FROM_POS_FILES}","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm",""
"C3","1","4.7nf","","","","","${EXCLUDE_FROM_POS_FILES}","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm",""
"C4","1","100uf","","","","","${EXCLUDE_FROM_POS_FILES}","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm",""
"D1","1","1N5817","","","","","${EXCLUDE_FROM_POS_FILES}","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal",""
"D2,D3","2","1N34A","","","","","${EXCLUDE_FROM_POS_FILES}","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal",""
"J1","1","Pickup","","","","","${EXCLUDE_FROM_POS_FILES}","TerminalBlock_Phoenix:TerminalBlock_Phoenix_PT-1,5-5-3.5-H_1x05_P3.50mm_Horizontal",""
"J2","1","Output","","","","","${EXCLUDE_FROM_POS_FILES}","TerminalBlock_Phoenix:TerminalBlock_Phoenix_PT-1,5-3-3.5-H_1x03_P3.50mm_Horizontal",""
"Q1,Q2","2","J201","","","","","${EXCLUDE_FROM_POS_FILES}","Package_TO_SOT_THT:TO-92L_HandSolder","https://www.interfet.com/jfet-datasheets/jfet-j201-j202-interfet.pdf"
"R1","1","1M","","","","","${EXCLUDE_FROM_POS_FILES}","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"R2","1","33K","","","","","${EXCLUDE_FROM_POS_FILES}","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"R3","1","100","","","","","${EXCLUDE_FROM_POS_FILES}","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"RV1","1","","","","","","${EXCLUDE_FROM_POS_FILES}","Custom:PushPull_Pot_DPDT",""
"RV2,RV3","2","20K","","","","","${EXCLUDE_FROM_POS_FILES}","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical",""
"RV4,RV5","2","100K A","","","","","${EXCLUDE_FROM_POS_FILES}","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical",""
"SW1","1","SW_SPDT","","","","","${EXCLUDE_FROM_POS_FILES}","Button_Switch_THT:SW_Slide_SPDT_Straight_CK_OS102011MS2Q",""
